2020/06/08 01:32:54  Project name <prjWINPricing400> : Module name <frmAddEditSaleOrder2> :Routine name <UnboundReadData> : Local error message <> : System error message <This key is already associated with an element of this collection , LoadExDeliveryCusItem , KEY= 659-20 , KeyType=2>
2020/06/08 01:33:05  Project name <prjWINPricing400> : Module name <frmAddEditSaleOrder2> :Routine name <UnboundReadData> : Local error message <> : System error message <This key is already associated with an element of this collection , LoadExDeliveryCusItem , KEY= 659-20 , KeyType=2>
2020/06/08 01:33:17  Project name <prjWINPricing400> : Module name <frmAddEditSaleOrder2> :Routine name <UnboundReadData> : Local error message <> : System error message <This key is already associated with an element of this collection , LoadExDeliveryCusItem , KEY= 659-20 , KeyType=2>
2020/06/08 01:33:32  Project name <prjWINPricing400> : Module name <frmAddEditSaleOrder2> :Routine name <UnboundReadData> : Local error message <> : System error message <This key is already associated with an element of this collection , LoadExDeliveryCusItem , KEY= 659-20 , KeyType=2>
2020/06/08 01:33:51  Project name <prjWINPricing400> : Module name <frmAddEditSaleOrder2> :Routine name <UnboundReadData> : Local error message <> : System error message <This key is already associated with an element of this collection , LoadExDeliveryCusItem , KEY= 659-20 , KeyType=2>
2020/06/08 01:34:44  Project name <prjWINPricing400> : Module name <frmAddEditSaleOrder2> :Routine name <UnboundReadData> : Local error message <> : System error message <This key is already associated with an element of this collection , LoadExDeliveryCusItem , KEY= 659-20 , KeyType=2>
2020/06/08 01:34:53  Project name <prjWINPricing400> : Module name <frmAddEditSaleOrder2> :Routine name <UnboundReadData> : Local error message <> : System error message <This key is already associated with an element of this collection , LoadExDeliveryCusItem , KEY= 659-20 , KeyType=2>
2020/06/08 01:36:40  Project name <prjWINPricing400> : Module name <frmAddEditSaleOrder2> :Routine name <UnboundReadData> : Local error message <> : System error message <This key is already associated with an element of this collection , LoadExDeliveryCusItem , KEY= 659-20 , KeyType=2>
2020/06/08 01:38:38  Project name <prjWINPricing400> : Module name <frmAddEditSaleOrder2> :Routine name <UnboundReadData> : Local error message <> : System error message <This key is already associated with an element of this collection , LoadExDeliveryCusItem , KEY= 659-20 , KeyType=2>
2020/06/08 01:42:36  Project name <prjWINPricing400> : Module name <frmAddEditSaleOrder2> :Routine name <UnboundReadData> : Local error message <> : System error message <This key is already associated with an element of this collection , LoadExDeliveryCusItem , KEY= 659-20 , KeyType=2>
2020/06/08 01:43:35  Project name <prjWINPricing400> : Module name <frmShowDoc> :Routine name <UnboundReadData> : Local error message <ท่านต้องการจะออกจากโปรแกรมโดยไม่มีการบันทึกข้อมูลใช่หรือไม่> : System error message <This key is already associated with an element of this collection , LoadExDeliveryCusItem , KEY= 659-20 , KeyType=2>
2020/06/08 01:44:18  Project name <prjWINPricing400> : Module name <frmAddEditSaleOrder2> :Routine name <UnboundReadData> : Local error message <ท่านต้องการจะออกจากโปรแกรมโดยไม่มีการบันทึกข้อมูลใช่หรือไม่> : System error message <This key is already associated with an element of this collection , LoadExDeliveryCusItem , KEY= 659-20 , KeyType=2>
2020/06/08 09:32:03  Project name <prjWINPricing400> : Module name <frmAddEditSaleOrder2> :Routine name <UnboundReadData> : Local error message <> : System error message <This key is already associated with an element of this collection , LoadExDeliveryCusItem , KEY= 659-20 , KeyType=2>
